tweet_id,createdAt,lang,username,author_name,views,likes,reposts,replies,url,text
2092839483821699219,2026-08-27T04:59:50.000Z,ja,CHILLAXY_azabu1,CHILLAXY麻布店チラクシー,990,7,2,2,https://x.com/CHILLAXY_azabu1/status/2092839483821699219,"リキッド🍯フィナンシェ🍫 🆕それぞれ新商品入荷しております‼️  #CBX 【SUPER LEMON HAZE🍋】 新成分なのでHHBD,H4CBH,THAHに耐性が つき始めたお客さまも楽しみやすい💥💥  そこに #CBD #CBG ブレンドのフィナンシェ🍫 玄人さんなら追加すると違いが分かるハズ👀  色んな成分試してみてください💕︎ https://x.com/CHILLAXY_azabu1/"
2092451175006339399,2026-08-26T03:16:50.000Z,ja,1010sTHC,裏天,934,19,5,1,https://x.com/1010sTHC/status/2092451175006339399,オススメはCBX10%バリ草サワーディーゼル  CDTサワーディーゼル9%配合のバリ草ブリブリなフレーバー⛽️🍋  しっかりサイコ感もありつつ程良さが使い勝手良いリキッドです  リピーター様は特別価格にてご案内中です  CBX40%パーマネントマーカーは上級者向けですのでワンパフから様子見でお願い致します https://x.com/1010sTHC/status/2092451175006339
2092176089141645586,2026-08-25T09:03:45.000Z,ja,GOODCHILL_mito2,🍯GOODCHILL(グッドチル)水戸店🌿,913,5,0,0,https://x.com/GOODCHILL_mito2/status/2092176089141645586,🚨緊急入荷🚨  大好評なリキッド達が再入荷しました👍✨  🥦OGクッシュ (HHBD) 🍬BLUE ZKITTLES (HHBD) 🌞陽キャ (HHBD) 🍋スーパーレモンヘイズ (CBX) ⚡️VOLT (H4CBH) 🥦グリーンクラック (HHBD × H4CBH)  現金の他に、PayPay / 各種QR決済 / クレカ ID / QUICPay / 交通系電子マネー使えます✅ https:
2091860995170054519,2026-08-24T12:11:40.000Z,ja,HighLifeat420,High Life 420 🌿,2094,6,2,0,https://x.com/HighLifeat420/status/2091860995170054519,Honey 🍯 Drip💧Lab 🥼 のプレゼント🎁企画で景品をいただきました❗️🥳  この会社のリキッドを吸うのは初めてですし、H4 × HHBD × CBXのブレンドを吸うのも初めてなので……ワクワクします！👏  本当にありがとうございます！♪( ´θ｀)ノ  @HoneyDripLab   #cbd #crdp #crdb #hhbd #cbg #cbx #h4cbd #h4cbh #tha
2091858977609158903,2026-08-24T12:03:39.000Z,ja,Land_attack,🌻⚫️🌻,1139,4,1,1,https://x.com/Land_attack/status/2091858977609158903,これ最初全く耐性付いていない状況ではかなりビックリしましたが🫢 ある程度麻抜きしても、 一度身体が受け入れると🤝 軽く吸っただけでCBXの優しさと CBXのお陰様なのか⁇ CRDBがより鮮明にハッキリしてかなり明るいリキッドだし やっぱり幻界のCRDB配合は間違いない🙂‍↕️ 4日麻抜きしてるのもあるけど！ 軽く2、3服でも💨 明るくなりながらも心がホッとするリキッド‼️ 少し名前が幻界ってかなり
2091844970357588158,2026-08-24T11:08:00.000Z,ja,HoneyDripLab,Honey Drip Lab【ハニドリ】,5833,25,11,1,https://x.com/HoneyDripLab/status/2091844970357588158,"【Chocolate Dripリキッド🍯🍫】  ハイブリッド  HHBD10% + H4CBH10% + CBX10% H4CBD / CBG配合 ドバイチョコ テルペン使用  ▶︎0.5ml ¥3,500 / 1ml ¥6,000  ボディ,ヘッド共にバランスよく成分を配合しております。 満足していただける様に試作を重ねてきました。 ハニドリが価格を安く抑えて,提供いたします。  ▼商品ページ "
2091839075758268599,2026-08-24T10:44:34.000Z,ja,CHILLAXY_azabu1,CHILLAXY麻布店チラクシー,1018,7,2,0,https://x.com/CHILLAXY_azabu1/status/2091839075758268599,過ごしやすい気温になってきました😮‍💨✨  本日も「合法大麻吸えます」の看板を持って スタッフが立っています👀🔥  リキッド🍯 ジョイント🌿 エディブル🍪 まだまだ在庫ございます🛍️  お近くにお越しの際はお気軽にどうぞ✨  #麻布十番 #CHILLAXY #CBD #CBG #CBX https://x.com/CHILLAXY_azabu1/status/2091839075758268599
2091761853366251734,2026-08-24T05:37:43.000Z,ja,Land_attack,🌻⚫️🌻,1837,16,2,0,https://x.com/Land_attack/status/2091761853366251734,まあどちらにしても！  CBXとCRDBの相性の良さは半端ない🥀  もちろんこれらを高配合でも週末楽しめるし❣️  低濃度でも中濃度でも CBXとCRDBの配合記載があるリキッドは  この二つの良さがかなり一丸となってまとめてくれる印象があるから✨  濃度はそれぞれで確認して頂き☝️  この二つの配合はとても相性の良きアイテムになると自分は思ってる。  もちろんHHBDやCBHとの関わりも見逃せな
2091759257352130769,2026-08-24T05:27:24.000Z,ja,soi56f,Chill Leaf 企画・宣伝用,1154,20,3,1,https://x.com/soi56f/status/2091759257352130769,🍇 Greap Haze 🍇  CBXを80%使用した高濃度・高級リキッド🔥  とにかくマンチが強いです😋 体感もかなり強めなので、初めての方は様子を見ながらお楽しみください。  ECならリプ欄のクーポンから【20%OFF】で購入可能✨ Amazonならクレカ決済にも対応しています💳  ぜひお試しください🙌 https://x.com/soi56f/status/20917592573521307
2091405337157124472,2026-08-23T06:01:03.000Z,ja,GOODCHILL_mito2,🍯GOODCHILL(グッドチル)水戸店🌿,462,4,0,0,https://x.com/GOODCHILL_mito2/status/2091405337157124472,GOODCHILL水戸店オープン🎪 【23時】まで営業中🈺💫  噂の新商品『CBXリキッド🍯』 入荷したばかりですが、残り少なくなってます🙌💦  非常にバランスの取れたハイブリッドに仕上がってます🌿✨  溢れる多幸感💖止まらないマンチ😋 アクティブに動けて、抜け感もスッキリ👌 1hitメニューも有ります💭 https://x.com/GOODCHILL_mito2/status/209140533
2091401347509956944,2026-08-23T05:45:12.000Z,ja,Land_attack,🌻⚫️🌻,963,8,0,0,https://x.com/Land_attack/status/2091401347509956944,人間て食べる行為やいろいろだけど！  口に何かを含んだり、 咥えたりする💋  行為って本能的に脳が刺激を覚えるから⚡️  リキッドも必ず吸う事や咥える事が癖になっる事実も否定出来ないから💡  麻抜きが凄く難しいのは それが原因の一つなのも皆さまも承知の上だと思いますが。  そんな時はナチュラル寄りのサイコか ナチュラルを咥える事に専念しないと  本当の麻の体感は味わい辛いから時に自分に厳しくする事
2091398535292059756,2026-08-23T05:34:01.000Z,ja,CHILLAXY_azabu1,CHILLAXY麻布店チラクシー,1732,5,1,0,https://x.com/CHILLAXY_azabu1/status/2091398535292059756,🏮麻布十番祭り 本日14時から開催🏮  今年も大賑わいの予感👀✨  CHILLAXY麻布店もSALE開催中🉐 リキッド🍯 ジョイント🌿 エディブル🍪 普段よりお求めやすくなってます🔥  お祭りの休憩ついでに ぜひお立ち寄りください🛍️  #麻布十番祭り #麻布夏祭り #麻布十番 #CHILLAXY #CBD #CRD #CBX #CBG https://x.com/CHILLAXY_azabu1/
2091341534168052110,2026-08-23T01:47:31.000Z,ja,CHILLAXY_azabu1,CHILLAXY麻布店チラクシー,1953,7,2,0,https://x.com/CHILLAXY_azabu1/status/2091341534168052110,本日も営業スタート☀️  🏮✨#麻布十番納涼まつり 最終日✨🏮  今日は涼しく過ごしやすい気温😆 麻布十番も盛り上がってます🔥  CHILLAXYではSALE開催中🉐 リキッド🍯 ジョイント🌿 エディブル🍪 お祭りのお供にぜひ✨  #CBD #CBG #CBX #CRD https://x.com/CHILLAXY_azabu1/status/2091341534168052110/photo/1
2091337343420748168,2026-08-23T01:30:52.000Z,ja,CHILLAXY_IKBKR_,CHILLAXY池袋店🌱チラクシー,1121,4,3,2,https://x.com/CHILLAXY_IKBKR_/status/2091337343420748168,CHILLAXY池袋 🦉 本日プレオープン最終日‼️  明日8/24(月)〜内装工事期間に入ります🙇‍♂️  グランドオープンは9/11(金)予定‼️  必要なものがある方は 工事前に買い溜めしちゃいましょう💨💨  最新 #CBX 配合リキッド🍯 お試し1HITメニューやブラウニー🍫 手軽なジョイント🌿も取り扱い中🆗  #池袋 #CBD https://x.com/CHILLAXY_IKBKR_/
2091239724233175436,2026-08-22T19:02:58.000Z,ja,Sunder88885,s,1347,7,1,1,https://x.com/Sunder88885/status/2091239724233175436,Sが求めるリキッド  (味)濃いめ、美味め、(粘度)バリ固 (効果)強め(抜け)早め(値段)安め  自信ある商品あれば是非(/・ω・)/(/・ω・)/  業者様お待ちしてます( ◜ω◝ )  #CBX #H4CBH #HHBD ...etc
2091121847916015815,2026-08-22T11:14:34.000Z,ja,BudsBrain_eva,🍀BudsBrain【歌舞伎町 EVA店】,15171,15,4,0,https://x.com/BudsBrain_eva/status/2091121847916015815,本日もオープンしてます🔔  「CBX」を使用した製品を、リキッド2種・ジョイント1種リリース致しました✨✨  多幸感とマンチをしっかり感じる原料で、サンプルの到着から試行錯誤を重ね、やっとのリリースです。 価格と詳細はプロフィールのリンクを✔  近日中にWAXもリリース予定です。 お楽しみに🌿 https://x.com/BudsBrain_eva/status/20911218479160158
2091062301789143110,2026-08-22T07:17:57.000Z,ja,CHILLAXY_IKBKR_,CHILLAXY池袋店🌱チラクシー,1439,7,1,0,https://x.com/CHILLAXY_IKBKR_/status/2091062301789143110,昼間暑かったですが🍋💦 日が暮れてくるとすこし涼しいですね💧  土曜日遊びに行く時には リキッド必須かと思います！🍯  #CBX 配合の新作サティバ系リキッド🍯 𝙎𝙐𝙋𝙀𝙍 𝙇𝙀𝙈𝙊𝙉 𝙃𝘼𝙕𝙀🍋🍋  シャキッと駆け抜けましょう⭐️💨💨  #ベイプ #池袋 https://x.com/CHILLAXY_IKBKR_/status/2091062301789143110/photo/1
2091050168800194943,2026-08-22T06:29:44.000Z,ja,pericansan,ペリカン,1528,17,4,2,https://x.com/pericansan/status/2091050168800194943,念願の✨  愛染リキッド  配合 CBX 40% H4CBH 20％ H4CBD 20% CBG 15% CDT Terpene 5% CDTテルペンでさすがの美味しさ👍 キックも強すぎず吸いやすい✨ 体感も早め、ヘッドから始まり、徐々にボディにも来て追えば追うほど落ちていく🥰 CBHもいい仕事してて体感の底上げと体感時間に幅と厚みが出ますね🥰この一本で十分満足な体感でした🤙 今回台風で遅れたらわ
2091019063157989463,2026-08-22T04:26:08.000Z,ja,ChillLeafJP,CHILL LEAF,880,13,3,0,https://x.com/ChillLeafJP/status/2091019063157989463,おはようございます☀️ 本日も営業中です🙌  近々、CBXリキッドを2種類発売予定です🔥 お楽しみに👀✨  そういえば、お盆みなさん何してましたかー？🤔𓈒𓂂𓏸 https://x.com/ChillLeafJP/status/2091019063157989463/photo/1
2090879642735718890,2026-08-21T19:12:08.000Z,ja,Th666Cluster,たいん隊長(本垢),989,3,1,0,https://x.com/Th666Cluster/status/2090879642735718890,俺の個人的にイチオシブランドの『ぐりーんりかー』さんはリキッドはもちろん抜群ですしリキッド以外の商品もオススメですよー🌳💕💕💕 #cbd #cbn #cbg #HHBD #H4CBH #CRDP #CBX #CRDB #THC #テルペン  @Greenliquor77 @Greenlilsd
2090782619910996249,2026-08-21T12:46:36.000Z,ja,Th666Cluster,たいん隊長(本垢),837,9,4,1,https://x.com/Th666Cluster/status/2090782619910996249,皆さん💡僕は断然プレミアム派です🖤笑 まずはコスパの良い0.５㍉から試してみてはどうでしょう❓僕も初めは0.5.㍉のリキッド買いまくって自分にピッタリなブランドのカンナビノイドリキッドに出会えたからね🌳🧪🌿🪴🚬💖 今日もG/Mさんのリキッド吸いながらご機嫌にニコニコしながらポストしてます💚笑 #CBD #CBG #CBX #カンナビノイド #麻  @GMS_hop
